Communes;Codes_Insee;Numero_departement;NB_allocataires;Dont_RSA_jeune;NB_allocataire_RSA;RSA_majore;RSA_non_Majore
RESIDENCE A L'ETRANGER;99999;;6760;;514;98;416
COMMUNES INCONNUES INSEE;XXXXX;;5217;;504;53;451
L'ABERGEMENT-CLEMENCIAT;1001;1;96;;;;
L'ABERGEMENT-DE-VAREY;1002;1;38;;;;
AMBERIEU-EN-BUGEY;1004;1;3030;;358;46;312
AMBERIEUX-EN-DOMBES;1005;1;238;;;;
AMBLEON;1006;1;;;;;
AMBRONAY;1007;1;420;;39;;
AMBUTRIX;1008;1;96;;5;;
ANDERT-ET-CONDON;1009;1;31;;;;
ANGLEFORT;1010;1;138;;6;;
APREMONT;1011;1;47;;;;
ARANC;1012;1;35;;;;
ARANDAS;1013;1;13;;;;
ARBENT;1014;1;532;;43;;
ARBOYS EN BUGEY;1015;1;73;;;;
ARBIGNY;1016;1;71;;;;
ARGIS;1017;1;60;;8;;
ARMIX;1019;1;;;;;
ARS-SUR-FORMANS;1021;1;204;;7;;
ARTEMARE;1022;1;233;;25;;
ASNIERES-SUR-SAONE;1023;1;13;;;;
ATTIGNAT;1024;1;463;;12;;
BAGE-DOMMARTIN;1025;1;426;;20;6;14
BAGE-LE-CHATEL;1026;1;152;;9;;
BALAN;1027;1;293;;14;;
BANEINS;1028;1;81;;;;
BEAUPONT;1029;1;163;;6;;
BEAUREGARD;1030;1;180;;12;;
BELLIGNAT;1031;1;766;;78;8;70
BELIGNEUX;1032;1;539;;25;11;14
BELLEGARDE-SUR-VALSERINE;1033;1;2037;;248;24;224
BELLEY;1034;1;1843;;193;25;168
BELLEYDOUX;1035;1;29;;;;
BELMONT-LUTHEZIEU;1036;1;73;;;;
BENONCES;1037;1;29;;;;
BENY;1038;1;91;;;;
BEON;1039;1;66;;;;
BEREZIAT;1040;1;69;;;;
BETTANT;1041;1;101;;;;
BEY;1042;1;40;;;;
BEYNOST;1043;1;610;;21;;
BILLIAT;1044;1;79;;11;;
BIRIEUX;1045;1;44;;;;
BIZIAT;1046;1;123;;7;;
BLYES;1047;1;130;;5;;
LA BOISSE;1049;1;461;;17;;
BOISSEY;1050;1;49;;;;
BOLOZON;1051;1;10;;;;
BOULIGNEUX;1052;1;33;;;;
BOURG-EN-BRESSE;1053;1;10072;;1377;182;1195
BOURG-SAINT-CHRISTOPHE;1054;1;212;;6;;
BOYEUX-SAINT-JEROME;1056;1;38;;;;
BOZ;1057;1;72;;;;
BREGNIER-CORDON;1058;1;116;;;;
BRENAZ;1059;1;11;;;;
BRENOD;1060;1;56;;6;;
BRENS;1061;1;142;;6;;
BRESSOLLES;1062;1;126;;;;
BRION;1063;1;67;;;;
BRIORD;1064;1;158;;14;;
BUELLAS;1065;1;223;;7;;
LA BURBANCHE;1066;1;13;;;;
CEIGNES;1067;1;34;;;;
CERDON;1068;1;118;;8;;
CERTINES;1069;1;231;;6;;
CESSY;1071;1;369;;35;8;27
CEYZERIAT;1072;1;553;;27;;
CEYZERIEU;1073;1;111;;;;
CHALAMONT;1074;1;425;;19;5;14
CHALEINS;1075;1;207;;5;;
CHALEY;1076;1;10;;;;
CHALLES-LA-MONTAGNE;1077;1;23;;;;
CHALLEX;1078;1;75;;;;
CHAMPAGNE-EN-VALROMEY;1079;1;163;;6;;
CHAMPDOR-CORCELLES;1080;1;88;;;;
CHAMPFROMIER;1081;1;81;;5;;
CHANAY;1082;1;60;;6;;
CHANEINS;1083;1;129;;;;
CHANOZ-CHATENAY;1084;1;105;;;;
LA CHAPELLE-DU-CHATELARD;1085;1;46;;;;
CHARIX;1087;1;37;;;;
CHARNOZ-SUR-AIN;1088;1;121;;;;
CHATEAU-GAILLARD;1089;1;321;;10;;
CHATENAY;1090;1;42;;;;
CHATILLON-EN-MICHAILLE;1091;1;420;;24;;
CHATILLON-LA-PALUD;1092;1;212;;6;;
CHATILLON-SUR-CHALARONNE;1093;1;817;;57;10;47
CHAVANNES-SUR-REYSSOUZE;1094;1;91;;;;
NIVIGNE ET SURAN;1095;1;128;;9;;
CHAVEYRIAT;1096;1;123;;;;
CHAVORNAY;1097;1;23;;;;
CHAZEY-BONS;1098;1;162;;9;;
CHAZEY-SUR-AIN;1099;1;191;;12;;
CHEIGNIEU-LA-BALME;1100;1;10;;;;
CHEVILLARD;1101;1;20;;;;
CHEVROUX;1102;1;144;;6;;
CHEVRY;1103;1;114;;12;;
CHEZERY-FORENS;1104;1;47;;6;;
CIVRIEUX;1105;1;244;;10;5;5
CIZE;1106;1;18;;;;
CLEYZIEU;1107;1;14;;;;
COLIGNY;1108;1;185;;23;;
COLLONGES;1109;1;204;;16;;
COLOMIEU;1110;1;22;;;;
CONAND;1111;1;18;;;;
CONDAMINE;1112;1;64;;;;
CONDEISSIAT;1113;1;116;;7;;
CONFORT;1114;1;96;;;;
CONFRANCON;1115;1;207;;6;;
CONTREVOZ;1116;1;63;;5;;
CONZIEU;1117;1;22;;;;
CORBONOD;1118;1;229;;8;;
CORLIER;1121;1;13;;;;
CORMARANCHE-EN-BUGEY;1122;1;101;;;;
CORMORANCHE-SUR-SAONE;1123;1;144;;9;;
CORMOZ;1124;1;86;;;;
CORVEISSIAT;1125;1;81;;8;;
COURMANGOUX;1127;1;57;;;;
COURTES;1128;1;38;;;;
CRANS;1129;1;35;;;;
CRAS-SUR-REYSSOUZE;1130;1;209;;9;;
CRESSIN-ROCHEFORT;1133;1;40;;;;
CROTTET;1134;1;239;;11;;
CROZET;1135;1;108;;7;;
CRUZILLES-LES-MEPILLAT;1136;1;112;;;;
CULOZ;1138;1;482;;57;9;48
CURCIAT-DONGALON;1139;1;54;;;;
CURTAFOND;1140;1;92;;;;
CUZIEU;1141;1;45;;;;
DAGNEUX;1142;1;718;;24;6;18
DIVONNE-LES-BAINS;1143;1;721;;75;;
DOMPIERRE-SUR-VEYLE;1145;1;177;;13;;
DOMPIERRE-SUR-CHALARONNE;1146;1;61;;;;
DOMSURE;1147;1;65;;7;;
DORTAN;1148;1;235;;24;;
DOUVRES;1149;1;137;;;;
DROM;1150;1;27;;;;
DRUILLAT;1151;1;124;;5;;
ECHALLON;1152;1;82;;;;
ECHENEVEX;1153;1;113;;;;
ETREZ;1154;1;114;;;;
EVOSGES;1155;1;18;;;;
FARAMANS;1156;1;101;;;;
FAREINS;1157;1;295;;17;;
FARGES;1158;1;58;;;;
FEILLENS;1159;1;475;;12;;
FERNEY-VOLTAIRE;1160;1;887;;141;12;129
FLAXIEU;1162;1;9;;;;
FOISSIAT;1163;1;256;;14;;
FRANCHELEINS;1165;1;229;;;;
FRANS;1166;1;329;;22;6;16
GARNERANS;1167;1;75;;;;
GENOUILLEUX;1169;1;88;;;;
BEARD-GEOVREISSIAT;1170;1;147;;6;;
GEOVREISSET;1171;1;99;;7;;
GEX;1173;1;1382;;155;14;141
GIRON;1174;1;18;;;;
GORREVOD;1175;1;123;;10;;
GRAND-CORENT;1177;1;19;;;;
GRIEGES;1179;1;245;;7;;
GRILLY;1180;1;48;;;;
GROISSIAT;1181;1;164;;;;
GUEREINS;1183;1;187;;;;
HAUTECOURT-ROMANECHE;1184;1;100;;8;;
HAUTEVILLE-LOMPNES;1185;1;582;;50;;
HOSTIAZ;1186;1;;;;;
HAUT VALROMEY;1187;1;66;;7;;
ILLIAT;1188;1;82;;;;
INJOUX-GENISSIAT;1189;1;126;;6;;
INNIMOND;1190;1;9;;;;
IZENAVE;1191;1;13;;;;
IZERNORE;1192;1;343;;13;;
IZIEU;1193;1;21;;;;
JASSANS-RIOTTIER;1194;1;1050;;89;11;78
JASSERON;1195;1;271;;10;;
JAYAT;1196;1;172;;5;;
JOURNANS;1197;1;38;;;;
JOYEUX;1198;1;36;;;;
JUJURIEUX;1199;1;342;;28;6;22
LABALME;1200;1;30;;;;
LAGNIEU;1202;1;1245;;102;12;90
LAIZ;1203;1;169;;6;;
LE POIZAT-LALLEYRIAT;1204;1;93;;11;;
LANCRANS;1205;1;137;;9;;
LANTENAY;1206;1;29;;;;
LAPEYROUSE;1207;1;40;;;;
LAVOURS;1208;1;12;;;;
LEAZ;1209;1;71;;;;
LELEX;1210;1;19;;;;
LENT;1211;1;210;;8;;
LESCHEROUX;1212;1;91;;7;;
LEYMENT;1213;1;195;;10;;
LEYSSARD;1214;1;18;;;;
LHOPITAL;1215;1;6;;;;
LHUIS;1216;1;146;;7;;
LOCHIEU;1218;1;10;;;;
LOMPNAS;1219;1;29;;;;
LOMPNIEU;1221;1;13;;;;
LOYETTES;1224;1;530;;23;;
LURCY;1225;1;43;;;;
MAGNIEU;1227;1;71;;;;
MAILLAT;1228;1;67;;;;
MALAFRETAZ;1229;1;177;;;;
MANTENAY-MONTLIN;1230;1;38;;;;
MANZIAT;1231;1;248;;6;;
MARBOZ;1232;1;278;;13;;
MARCHAMP;1233;1;11;;;;
MARIGNIEU;1234;1;15;;;;
MARLIEUX;1235;1;177;;8;;
MARSONNAS;1236;1;125;;8;;
MARTIGNAT;1237;1;245;;14;;
MASSIEUX;1238;1;386;;17;;
MASSIGNIEU-DE-RIVES;1239;1;62;;;;
MATAFELON-GRANGES;1240;1;68;;;;
MEILLONNAS;1241;1;217;;9;;
MERIGNAT;1242;1;26;;;;
MESSIMY-SUR-SAONE;1243;1;156;;5;;
MEXIMIEUX;1244;1;1433;;96;18;78
BOHAS-MEYRIAT-RIGNAT;1245;1;122;;6;;
MEZERIAT;1246;1;331;;18;;
MIJOUX;1247;1;39;;;;
MIONNAY;1248;1;271;;8;;
MIRIBEL;1249;1;1668;;126;;
MISERIEUX;1250;1;263;;8;;
MOGNENEINS;1252;1;94;;;;
MONTAGNAT;1254;1;245;;10;;
MONTAGNIEU;1255;1;95;;;;
MONTANGES;1257;1;28;;;;
MONTCEAUX;1258;1;159;;6;;
MONTCET;1259;1;100;;;;
LE MONTELLIER;1260;1;43;;;;
MONTHIEUX;1261;1;78;;;;
MONTLUEL;1262;1;1261;;99;11;88
MONTMERLE-SUR-SAONE;1263;1;580;;25;;
MONTRACOL;1264;1;156;;6;;
MONTREAL-LA-CLUSE;1265;1;627;;64;12;52
MONTREVEL-EN-BRESSE;1266;1;423;;34;7;27
NURIEUX-VOLOGNAT;1267;1;128;;5;;
MURS-ET-GELIGNIEUX;1268;1;26;;;;
NANTUA;1269;1;668;;86;14;72
NEUVILLE-LES-DAMES;1272;1;218;;9;;
NEUVILLE-SUR-AIN;1273;1;253;;20;;
LES NEYROLLES;1274;1;93;;12;;
NEYRON;1275;1;334;;16;;
NIEVROZ;1276;1;220;;15;;
NIVOLLET-MONTGRIFFON;1277;1;16;;;;
ONCIEU;1279;1;10;;;;
ORDONNAZ;1280;1;14;;;;
ORNEX;1281;1;357;;38;6;32
OUTRIAZ;1282;1;30;;;;
OYONNAX;1283;1;4829;;628;69;559
OZAN;1284;1;93;;;;
PARCIEUX;1285;1;175;;8;;
PARVES ET NATTAGES;1286;1;103;;;;
PERON;1288;1;160;;10;;
PERONNAS;1289;1;975;;82;22;60
PEROUGES;1290;1;145;;5;;
PERREX;1291;1;94;;;;
PEYRIAT;1293;1;15;;;;
PEYRIEU;1294;1;119;;6;;
PEYZIEUX-SUR-SAONE;1295;1;95;;;;
PIRAJOUX;1296;1;55;;;;
PIZAY;1297;1;112;;;;
PLAGNE;1298;1;14;;;;
LE PLANTAY;1299;1;55;;;;
POLLIAT;1301;1;361;;17;;
POLLIEU;1302;1;16;;;;
PONCIN;1303;1;283;;32;5;27
PONT-D'AIN;1304;1;506;;62;11;51
PONT-DE-VAUX;1305;1;448;;39;5;34
PONT-DE-VEYLE;1306;1;305;;22;;
PORT;1307;1;117;;;;
POUGNY;1308;1;52;;8;;
POUILLAT;1309;1;9;;;;
PREMEYZEL;1310;1;150;;;;
PREMILLIEU;1311;1;;;;;
PREVESSIN-MOENS;1313;1;539;;36;;
PRIAY;1314;1;252;;8;;
RAMASSE;1317;1;36;;;;
RANCE;1318;1;89;;;;
RELEVANT;1319;1;53;;;;
REPLONGES;1320;1;502;;22;;
REVONNAS;1321;1;130;;;;
REYRIEUX;1322;1;691;;15;;
REYSSOUZE;1323;1;146;;12;;
RIGNIEUX-LE-FRANC;1325;1;132;;;;
ROMANS;1328;1;106;;5;;
ROSSILLON;1329;1;22;;;;
RUFFIEU;1330;1;13;;;;
SAINT-ALBAN;1331;1;20;;;;
SAINT-ANDRE-DE-BAGE;1332;1;111;;5;;
SAINT-ANDRE-DE-CORCY;1333;1;499;;18;;
SAINT-ANDRE-D'HUIRIAT;1334;1;79;;;;
SAINT-ANDRE-LE-BOUCHOUX;1335;1;50;;;;
SAINT-ANDRE-SUR-VIEUX-JONC;1336;1;162;;8;;
SAINT-BENIGNE;1337;1;167;;10;;
GROSLEE-SAINT-BENOIT;1338;1;158;;8;;
SAINT-BERNARD;1339;1;152;;;;
SAINT-CHAMP;1341;1;13;;;;
SAINTE-CROIX;1342;1;66;;;;
SAINT-CYR-SUR-MENTHON;1343;1;252;;10;;
SAINT-DENIS-LES-BOURG;1344;1;805;;61;9;52
SAINT-DENIS-EN-BUGEY;1345;1;325;;14;;
SAINT-DIDIER-D'AUSSIAT;1346;1;105;;5;;
SAINT-DIDIER-DE-FORMANS;1347;1;256;;7;;
SAINT-DIDIER-SUR-CHALARONNE;1348;1;410;;25;;
SAINT-ELOI;1349;1;48;;;;
SAINT-ETIENNE-DU-BOIS;1350;1;324;;15;;
SAINT-ETIENNE-SUR-CHALARONNE;1351;1;242;;17;;
SAINT-ETIENNE-SUR-REYSSOUZE;1352;1;67;;;;
SAINTE-EUPHEMIE;1353;1;236;;;;
SAINT-GENIS-POUILLY;1354;1;1074;;137;12;125
SAINT-GENIS-SUR-MENTHON;1355;1;66;;;;
SAINT-GEORGES-SUR-RENON;1356;1;26;;;;
SAINT-GERMAIN-DE-JOUX;1357;1;68;;;;
SAINT-GERMAIN-LES-PAROISSES;1358;1;53;;7;;
SAINT-GERMAIN-SUR-RENON;1359;1;25;;;;
SAINT-JEAN-DE-GONVILLE;1360;1;135;;5;;
SAINT-JEAN-DE-NIOST;1361;1;191;;;;
SAINT-JEAN-DE-THURIGNEUX;1362;1;123;;5;;
SAINT-JEAN-LE-VIEUX;1363;1;257;;8;;
SAINT-JEAN-SUR-REYSSOUZE;1364;1;99;;;;
SAINT-JEAN-SUR-VEYLE;1365;1;148;;5;;
SAINTE-JULIE;1366;1;160;;;;
SAINT-JULIEN-SUR-REYSSOUZE;1367;1;106;;14;;
SAINT-JULIEN-SUR-VEYLE;1368;1;113;;;;
SAINT-JUST;1369;1;116;;;;
SAINT-LAURENT-SUR-SAONE;1370;1;420;;59;11;48
SAINT-MARCEL;1371;1;184;;6;;
SAINT-MARTIN-DE-BAVEL;1372;1;47;;;;
SAINT-MARTIN-DU-FRENE;1373;1;143;;13;;
SAINT-MARTIN-DU-MONT;1374;1;234;;10;;
SAINT-MARTIN-LE-CHATEL;1375;1;102;;;;
SAINT-MAURICE-DE-BEYNOST;1376;1;678;;61;16;45
SAINT-MAURICE-DE-GOURDANS;1378;1;343;;15;;
SAINT-MAURICE-DE-REMENS;1379;1;120;;6;;
SAINT-NIZIER-LE-BOUCHOUX;1380;1;85;;6;;
SAINT-NIZIER-LE-DESERT;1381;1;138;;;;
SAINTE-OLIVE;1382;1;24;;;;
SAINT-PAUL-DE-VARAX;1383;1;285;;14;;
SAINT-RAMBERT-EN-BUGEY;1384;1;455;;80;10;70
SAINT-REMY;1385;1;112;;;;
SAINT-SORLIN-EN-BUGEY;1386;1;151;;9;;
SAINT-SULPICE;1387;1;37;;;;
SAINT-TRIVIER-DE-COURTES;1388;1;165;;18;7;11
SAINT-TRIVIER-SUR-MOIGNANS;1389;1;279;;9;;
SAINT-VULBAS;1390;1;191;;;;
SALAVRE;1391;1;24;;;;
SAMOGNAT;1392;1;79;;;;
SANDRANS;1393;1;73;;;;
SAULT-BRENAZ;1396;1;152;;17;;
SAUVERNY;1397;1;61;;;;
SAVIGNEUX;1398;1;205;;6;;
SEGNY;1399;1;128;;11;;
SEILLONNAZ;1400;1;20;;;;
SERGY;1401;1;119;;;;
SERMOYER;1402;1;87;;;;
SERRIERES-DE-BRIORD;1403;1;217;;22;5;17
SERRIERES-SUR-AIN;1404;1;16;;5;;
SERVAS;1405;1;217;;13;;
SERVIGNAT;1406;1;19;;;;
SEYSSEL;1407;1;160;;23;;
SIMANDRE-SUR-SURAN;1408;1;88;;12;;
SONTHONNAX-LA-MONTAGNE;1410;1;32;;;;
SOUCLIN;1411;1;35;;;;
SULIGNAT;1412;1;70;;;;
SURJOUX;1413;1;6;;;;
SUTRIEU;1414;1;15;;;;
TALISSIEU;1415;1;87;;;;
TENAY;1416;1;199;;33;;
THEZILLIEU;1417;1;36;;;;
THIL;1418;1;130;;;;
THOIRY;1419;1;414;;41;6;35
THOISSEY;1420;1;346;;38;6;32
TORCIEU;1421;1;101;;5;;
TOSSIAT;1422;1;178;;11;;
TOUSSIEUX;1423;1;158;;;;
TRAMOYES;1424;1;205;;;;
LA TRANCLIERE;1425;1;25;;;;
VAL-REVERMONT;1426;1;346;;12;;
TREVOUX;1427;1;1228;;81;11;70
VALEINS;1428;1;19;;;;
VANDEINS;1429;1;93;;9;;
VARAMBON;1430;1;91;;5;;
VAUX-EN-BUGEY;1431;1;171;;5;;
VERJON;1432;1;40;;5;;
VERNOUX;1433;1;49;;;;
VERSAILLEUX;1434;1;63;;;;
VERSONNEX;1435;1;142;;10;;
VESANCY;1436;1;29;;5;;
VESCOURS;1437;1;31;;;;
VESINES;1439;1;10;;;;
VIEU-D'IZENAVE;1441;1;90;;;;
VIEU;1442;1;34;;;;
VILLARS-LES-DOMBES;1443;1;806;;42;5;37
VILLEBOIS;1444;1;177;;11;;
VILLEMOTIER;1445;1;85;;;;
VILLENEUVE;1446;1;196;;;;
VILLEREVERSURE;1447;1;209;;11;;
VILLES;1448;1;37;;;;
VILLETTE-SUR-AIN;1449;1;108;;;;
VILLIEU-LOYES-MOLLON;1450;1;528;;20;;
VIRIAT;1451;1;944;;62;14;48
VIRIEU-LE-GRAND;1452;1;240;;33;7;26
VIRIEU-LE-PETIT;1453;1;96;;;;
VIRIGNIN;1454;1;211;;;;
VONGNES;1456;1;;;;;
VONNAS;1457;1;487;;38;5;33
ABBECOURT;2001;2;71;;6;;
ACHERY;2002;2;87;;10;;
ACY;2003;2;139;;7;;
AGNICOURT-ET-SECHELLES;2004;2;27;;;;
AGUILCOURT;2005;2;48;;;;
AISONVILLE-ET-BERNOVILLE;2006;2;43;;12;;
AIZELLES;2007;2;13;;;;
AIZY-JOUY;2008;2;42;;;;
ALAINCOURT;2009;2;76;;9;;
ALLEMANT;2010;2;30;;;;
AMBLENY;2011;2;140;;6;;
AMBRIEF;2012;2;12;;;;
AMIFONTAINE;2013;2;46;;;;
AMIGNY-ROUY;2014;2;113;;10;;
ANCIENVILLE;2015;2;8;;;;
ANDELAIN;2016;2;27;;;;
ANGUILCOURT-LE-SART;2017;2;44;;6;;
ANIZY-LE-CHATEAU;2018;2;340;;54;11;43
ANNOIS;2019;2;47;;7;;
ANY-MARTIN-RIEUX;2020;2;64;;8;;
ARCHON;2021;2;8;;;;
ARCY-SAINTE-RESTITUE;2022;2;56;;;;
ARMENTIERES-SUR-OURCQ;2023;2;10;;;;
ARRANCY;2024;2;9;;;;
ARTEMPS;2025;2;50;;;;
ASSIS-SUR-SERRE;2027;2;23;;;;
ATHIES-SOUS-LAON;2028;2;368;;31;;
ATTILLY;2029;2;48;;;;
AUBENCHEUL-AUX-BOIS;2030;2;38;;;;
AUBENTON;2031;2;111;;23;;
AUBIGNY-AUX-KAISNES;2032;2;38;;5;;
AUBIGNY-EN-LAONNOIS;2033;2;14;;;;
AUDIGNICOURT;2034;2;15;;;;
AUDIGNY;2035;2;45;;9;;
AUGY;2036;2;17;;;;
AULNOIS-SOUS-LAON;2037;2;226;;16;;
LES AUTELS;2038;2;8;;;;
AUTREMENCOURT;2039;2;17;;;;
AUTREPPES;2040;2;29;;;;
AUTREVILLE;2041;2;117;;13;;
AZY-SUR-MARNE;2042;2;36;;6;;
BAGNEUX;2043;2;12;;;;
BANCIGNY;2044;2;;;;;
BARENTON-BUGNY;2046;2;72;;7;;
BARENTON-CEL;2047;2;13;;;;
BARENTON-SUR-SERRE;2048;2;19;;;;
BARISIS-AUX-BOIS;2049;2;95;;9;;
BARZY-EN-THIERACHE;2050;2;45;;;;
BARZY-SUR-MARNE;2051;2;42;;7;;
BASSOLES-AULERS;2052;2;16;;;;
VALLEES EN CHAMPAGNE;2053;2;52;;;;
BAZOCHES-SUR-VESLES;2054;2;68;;;;
BEAUME;2055;2;11;;;;
BEAUMONT-EN-BEINE;2056;2;18;;;;
BEAUREVOIR;2057;2;273;;44;;
BEAURIEUX;2058;2;139;;14;;
BEAUTOR;2059;2;587;;167;30;137
BEAUVOIS-EN-VERMANDOIS;2060;2;25;;;;
BECQUIGNY;2061;2;47;;7;;
BELLEAU;2062;2;20;;6;;
BELLENGLISE;2063;2;62;;7;;
BELLEU;2064;2;719;;102;11;91
BELLICOURT;2065;2;93;;15;;
BENAY;2066;2;23;;;;
BERGUES-SUR-SAMBRE;2067;2;23;;;;
BERLANCOURT;2068;2;13;;;;
BERLISE;2069;2;14;;;;
BERNOT;2070;2;60;;5;;
BERNY-RIVIERE;2071;2;76;;5;;
BERRIEUX;2072;2;23;;;;
BERRY-AU-BAC;2073;2;86;;9;;
BERTAUCOURT-EPOURDON;2074;2;87;;8;;
BERTHENICOURT;2075;2;30;;;;
BERTRICOURT;2076;2;18;;;;
BERZY-LE-SEC;2077;2;51;;6;;
BESME;2078;2;23;;;;
BESMONT;2079;2;14;;;;
BESNY-ET-LOIZY;2080;2;36;;5;;
BETHANCOURT-EN-VAUX;2081;2;83;;;;
BEUGNEUX;2082;2;18;;;;
BEUVARDES;2083;2;105;;8;;
BEZU-LE-GUERY;2084;2;31;;;;
BEZU-SAINT-GERMAIN;2085;2;158;;9;;
BICHANCOURT;2086;2;140;;15;;
BIEUXY;2087;2;;;;;
BIEVRES;2088;2;11;;;;
BILLY-SUR-AISNE;2089;2;146;;12;;
BILLY-SUR-OURCQ;2090;2;31;;;;
BLANZY-LES-FISMES;2091;2;7;;;;
BLERANCOURT;2093;2;211;;39;9;30
BLESMES;2094;2;59;;;;
BOHAIN-EN-VERMANDOIS;2095;2;1371;;386;63;323
BOIS-LES-PARGNY;2096;2;27;;;;
BONCOURT;2097;2;31;;;;
BONNEIL;2098;2;42;;;;
BONNESVALYN;2099;2;34;;;;
BONY;2100;2;25;;5;;
BOSMONT-SUR-SERRE;2101;2;24;;;;
BOUCONVILLE-VAUCLAIR;2102;2;24;;;;
BOUE;2103;2;233;;33;6;27
BOUFFIGNEREUX;2104;2;10;;;;
BOURESCHES;2105;2;22;;;;
BOURG-ET-COMIN;2106;2;132;;21;;
BOURGUIGNON-SOUS-COUCY;2107;2;16;;5;;
BOURGUIGNON-SOUS-MONTBAVIN;2108;2;21;;;;
LA BOUTEILLE;2109;2;74;;12;;
BRAINE;2110;2;413;;70;10;60
BRANCOURT-EN-LAONNOIS;2111;2;114;;18;;
BRANCOURT-LE-GRAND;2112;2;70;;;;
BRASLES;2114;2;260;;18;;
BRAYE-EN-LAONNOIS;2115;2;22;;;;
BRAYE-EN-THIERACHE;2116;2;17;;;;
BRAY-SAINT-CHRISTOPHE;2117;2;10;;;;
BRAYE;2118;2;14;;;;
BRECY;2119;2;39;;;;
BRENELLE;2120;2;25;;;;
BRENY;2121;2;41;;;;
BRIE;2122;2;;;;;
BRISSAY-CHOIGNY;2123;2;42;;;;
BRISSY-HAMEGICOURT;2124;2;104;;7;;
BRUMETZ;2125;2;25;;;;
BRUNEHAMEL;2126;2;78;;18;;
BRUYERES-SUR-FERE;2127;2;19;;;;
BRUYERES-ET-MONTBERAULT;2128;2;217;;20;;
BRUYS;2129;2;;;;;
BUCILLY;2130;2;25;;;;
BUCY-LE-LONG;2131;2;266;;28;;
BUCY-LES-CERNY;2132;2;24;;;;
BUCY-LES-PIERREPONT;2133;2;61;;5;;
BUIRE;2134;2;125;;16;;
BUIRONFOSSE;2135;2;215;;27;;
BURELLES;2136;2;14;;;;
BUSSIARES;2137;2;24;;;;
BUZANCY;2138;2;22;;;;
CAILLOUEL-CREPIGNY;2139;2;64;;6;;
CAMELIN;2140;2;81;;9;;
LA CAPELLE;2141;2;415;;68;8;60
CASTRES;2142;2;36;;;;
LE CATELET;2143;2;31;;;;
CAULAINCOURT;2144;2;18;;;;
CAUMONT;2145;2;89;;;;
CELLES-LES-CONDE;2146;2;10;;;;
CELLES-SUR-AISNE;2148;2;38;;;;
CERIZY;2149;2;10;;;;
CERNY-EN-LAONNOIS;2150;2;11;;;;
CERNY-LES-BUCY;2151;2;11;;;;
CERSEUIL;2152;2;6;;;;
CESSIERES;2153;2;74;;;;
CHACRISE;2154;2;58;;6;;
CHAILLEVOIS;2155;2;31;;;;
CHALANDRY;2156;2;32;;;;
CHAMBRY;2157;2;116;;12;;
CHAMOUILLE;2158;2;50;;9;;
CHAMPS;2159;2;37;;;;
CHAOURSE;2160;2;90;;11;;
LA CHAPELLE-SUR-CHEZY;2162;2;47;;5;;
CHARLY-SUR-MARNE;2163;2;455;;62;10;52
LE CHARMEL;2164;2;38;;;;
CHARMES;2165;2;268;;35;;
CHARTEVES;2166;2;43;;;;
CHASSEMY;2167;2;124;;11;;
CHATEAU-THIERRY;2168;2;3707;;655;117;538
CHATILLON-LES-SONS;2169;2;13;;;;
CHATILLON-SUR-OISE;2170;2;20;;;;
CHAUDARDES;2171;2;9;;;;
CHAUDUN;2172;2;32;;;;
CHAUNY;2173;2;3015;;674;108;566
CHAVIGNON;2174;2;130;;10;;
CHAVIGNY;2175;2;19;;;;
CHAVONNE;2176;2;31;;;;
CHERET;2177;2;16;;;;
CHERMIZY-AILLES;2178;2;14;;;;
CHERY-CHARTREUVE;2179;2;47;;;;
CHERY-LES-POUILLY;2180;2;114;;11;;
CHERY-LES-ROZOY;2181;2;22;;6;;
CHEVENNES;2182;2;20;;;;
CHEVREGNY;2183;2;25;;;;
CHEVRESIS-MONCEAU;2184;2;70;;;;
CHEZY-EN-ORXOIS;2185;2;46;;;;
CHEZY-SUR-MARNE;2186;2;169;;12;;
CHIERRY;2187;2;129;;10;;
CHIGNY;2188;2;13;;;;
CHIVRES-EN-LAONNOIS;2189;2;55;;6;;
CHIVRES-VAL;2190;2;67;;8;;
CHIVY-LES-ETOUVELLES;2191;2;61;;5;;
CHOUY;2192;2;48;;5;;
CIERGES;2193;2;;;;;
CILLY;2194;2;22;;;;
CIRY-SALSOGNE;2195;2;126;;;;
CLACY-ET-THIERRET;2196;2;30;;;;
CLAIRFONTAINE;2197;2;65;;;;
CLAMECY;2198;2;27;;5;;
CLASTRES;2199;2;103;;6;;
CLERMONT-LES-FERMES;2200;2;14;;;;
C�UVRES-ET-VALSERY;2201;2;56;;;;
COINCY;2203;2;225;;49;8;41
COINGT;2204;2;8;;;;
COLLIGIS-CRANDELAIN;2205;2;29;;;;
COLONFAY;2206;2;10;;;;
COMMENCHON;2207;2;33;;;;
CONCEVREUX;2208;2;34;;;;
CONDE-EN-BRIE;2209;2;111;;15;;
CONDE-SUR-AISNE;2210;2;51;;;;
CONDE-SUR-SUIPPE;2211;2;39;;;;
CONDREN;2212;2;86;;11;;
CONNIGIS;2213;2;45;;6;;
CONTESCOURT;2214;2;9;;;;
CORBENY;2215;2;125;;8;;
CORCY;2216;2;36;;;;
COUCY-LE-CHATEAU-AUFFRIQUE;2217;2;192;;23;;
COUCY-LES-EPPES;2218;2;93;;5;;
COUCY-LA-VILLE;2219;2;27;;;;
COULONGES-COHAN;2220;2;55;;;;
